Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
144296,91378,86968,1441
143378,88856,86106,-5750
143713,88187,83595,-12782
49052,45506,91714,-6432
137862,91046,85160,-136
136864,88902,84218,-7141
49048,43204,93132,-4683
49264,42190,94140,-5363
71173,51655,69997,11020
69360,48646,71528,10495
46484,56342,86056,-41042
44441,58759,85535,-40057
46870,59540,84468,-38912
46072,61984,82878,-35538
52135,59541,83565,-31141
52015,55207,85463,-30977
102060,1752,77098,-45968
101424,9218,78240,-46674
100374,4532,79156,-49018
99753,11997,80591,-49238
98906,18882,82678,-49894
97983,7697,81111,-51866
97405,15159,82821,-51656
12920,72298,135920,15592
13442,66876,133088,26161
14187,61659,131859,36831
4831,71491,137065,17807
5298,65716,134304,28022
6038,60062,132986,38279
-3223,70541,137943,20004
-2758,64502,135228,29977
-1997,58493,133819,39806
62924,184486,76212,19933
65121,187517,77317,24266
66053,179879,95415,-14389
154516,-27598,68406,-26927
69251,192417,79551,30796
69026,181944,93546,-13237
69594,175352,94282,-15634
72030,168888,93510,-16882
126133,-133813,64671,45295
126904,-132840,62240,37107
69858,194606,80530,31819
71020,177466,92260,-13102
71879,170869,92999,-14878
74601,164417,92235,-15617
133760,-132066,64986,56253
134314,-132848,62998,49461
134955,-131729,61029,41453
72574,166264,91992,-12107
141116,-131118,62804,59286
141533,-131747,61263,52338
142032,-130484,59742,44473
169274,-31238,71362,-52238
171357,-39485,71677,-59723
172020,-32024,72772,-58101
104867,-13385,74665,-65791
105114,-12824,67452,-66353
106316,-10830,73400,-68693
107119,-9321,79061,-69908
106022,-10846,66572,-68784
106879,-8711,72743,-71394
107333,-6969,78647,-72683
107030,-8998,65800,-70558
107504,-6708,72258,-73704
52766,202778,39730,-2518
52517,201007,38205,-2129
51851,198419,38057,-2003
47048,203878,38932,2825
47160,202062,37344,3464
46808,199404,37076,3549
41061,204727,38581,8364
41471,202807,36875,9041
41361,199985,36401,8964
-64963,-46493,127855,21175
-64538,-52036,126668,29652
-60762,-59770,125668,31752
-60471,-64967,123059,40720
-57216,-62178,125682,26265
-57230,-67680,122896,35313
108912,135454,78440,176876
115792,137856,83820,173946
145366,-12322,77816,-156375
141288,-14196,72446,-163595
107047,128027,70745,178466
112733,132843,77943,178798
119605,135245,83625,175697
143435,-9803,74601,-162913
139207,-11233,69099,-169961
134433,-10437,63991,-174558
110069,125447,69429,172165
115697,130239,76907,172402
122529,132605,82885,169337
140702,-6998,71098,-161492
136386,-7954,65464,-168239
131526,-6704,60230,-172555
126140,-4176,61850,-165583
102273,102399,73349,-51120
99546,111848,66628,-53435
106685,104061,69823,-51520
104110,114078,62908,-53820
102645,125157,55243,-56230
115768,105836,67574,-50705
113349,116161,60457,-53529
3040724,241790,-470668,266836
203506,-17080,30968,25119
202428,-10102,27536,20961
201247,-2775,25555,16482
205190,-12922,29072,24192
153907,-73305,122655,-19238
155450,-74416,119490,-12581
144855,-71845,128103,-30241
146318,-73574,125314,-23503
147714,-74860,122138,-16444
137351,-71903,130473,-34821
138691,-73811,127657,-27721
139933,-75273,124467,-20281
130166,-74186,130256,-32011
138631,-46239,56585,82744
128867,-48701,59287,83849
157533,30385,61157,-28629
154687,40845,59265,-26256
151765,50783,57701,-24010
148887,60317,56273,-21931
159499,33621,63307,-20755
156899,43893,61485,-18151
154093,53581,60073,-16004
151279,62869,58873,-14159
105398,131130,115638,-32000
