Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
59057,136009,196893,-13464
55346,133570,202010,-29518
55022,129462,203574,-28280
45712,84428,208630,3947
43713,86825,203765,2914
53878,111632,192492,-10619
54552,107342,187292,-15246
54005,100933,178893,-21080
53963,96069,169917,-25485
25144,82252,128134,27748
27376,81450,144288,23031
67063,126053,178355,946
66912,131674,184928,-2287
67652,134284,192404,-6042
64180,132212,202948,-23064
63498,132064,203510,-26713
62959,127739,205157,-26118
62807,119897,207363,-21617
58826,88160,209820,-860
52939,81599,209197,1465
51123,83779,204175,305
49604,89386,200374,-3378
61902,107902,193470,-13220
62566,103912,188266,-17705
62022,97974,179868,-23174
31852,85604,121572,29716
33913,82663,130475,29768
35900,82306,146670,25864
36860,82414,162680,19156
30916,46932,147156,-26440
25879,41025,139251,-29357
71322,130470,186134,599
68619,130963,204181,-20153
67821,130701,204867,-23871
67090,126182,206574,-23800
66718,118114,208708,-20203
62165,85713,210471,-2672
56362,78934,209604,-776
54731,80897,204425,-1941
53450,86284,200616,-5328
66789,100643,189083,-18840
66248,95176,180688,-23828
38131,85021,123487,29466
40201,82451,132657,30211
42054,82536,148886,27331
42912,83074,164894,21641
39952,55690,156614,-18079
37426,49354,147874,-21883
32963,43227,139755,-24852
71857,129839,205317,-17187
71025,129545,206045,-20892
58716,76496,209798,-2824
57272,78242,204462,-4002
56231,83409,200643,-7101
45243,81369,134597,29501
47043,81877,150809,27692
47930,82872,166768,23167
45054,58152,156468,-13650
42804,51782,147438,-17348
38902,45524,139090,-20038
36191,40021,134389,-21514
47705,53721,145971,-13120
44316,47578,137332,-15285
42246,42106,132452,-16618
40097,36465,130615,-17605
52583,55143,143673,-9034
49650,49346,134686,-10537
48198,44108,129690,-11616
61905,12083,132635,-14948
64350,11882,141072,-18018
58429,74081,140577,23066
60258,75208,155760,23753
61679,77309,170579,22491
60064,61764,151378,-2589
58308,56496,141148,-4832
55776,51094,131816,-5800
54869,46165,126745,-6718
65839,21099,127237,-10319
67895,17069,135015,-10406
69888,16864,143892,-13554
71265,18041,153863,-18122
61467,73987,133435,20034
63555,71945,142285,22602
65397,73101,157061,23670
67019,75293,171433,22877
66471,62563,149153,-270
64840,57742,138596,-2386
62678,52768,129070,-3192
72977,25713,129141,-8070
74567,21679,137367,-8391
76105,21471,146691,-11460
77189,22651,157075,-15955
69236,72264,135116,21286
71243,70235,143797,23715
73076,71394,158164,24850
74913,73575,172089,24085
74226,58860,136164,-1795
72420,54338,126620,-2624
83948,25818,139660,-8515
85035,25615,149401,-11421
85769,26795,160089,-15612
86574,16422,174190,-8334
80428,68338,145600,26110
82171,69483,159535,27009
94400,28194,142644,-10753
95051,27983,152571,-13474
95388,29154,163348,-17183
93965,17931,176735,-11800
94653,18027,176193,-7797
102562,26300,157308,-16421
102508,27412,168038,-19603
97408,15284,181044,-15175
97769,15239,180357,-10924
97567,42923,124205,-11934
99163,39179,122585,-13826
100200,19126,176076,-22866
91729,5361,189095,-18152
91668,5298,188382,-13706
91808,3260,188390,-11119
93422,58748,156470,29961
94128,59688,169320,29867
102891,55283,175953,5545
102710,40832,123048,-15034
104594,37116,121418,-17167
105759,36025,125605,-19051
108285,39119,131771,-20144
100597,16233,177785,-25368
89622,796,191106,-20900
89121,731,190389,-16449
88822,-1314,190394,-13822
96135,61525,150749,27890
96003,59265,157751,28416
96252,60194,170174,28345
97788,61852,181834,26512
104993,56069,186333,11296
105855,54543,173717,6156
106489,52923,159577,226
107324,39784,120748,-16058
109495,36081,119093,-18575
110682,35072,123180,-20390
112929,38379,129133,-21191
88088,-1868,191012,-23660
87143,-1931,190301,-19430
86392,-3978,190312,-16996
85655,-9421,191175,-17989
98176,62934,152058,25263
97595,60659,158595,25683
